fixture_id,pollutant,concentration,declared_unit,averaging_window,observation_ts,station_id,station_name,source,comparison_range,repo_current_raw_sub_index,repo_current_rounded_sub_index,repo_current_cap_applied,repo_current_display_value,repo_current_category_label,repo_current_formula_branch,cpcb_workbook_formula_exact_raw_sub_index,cpcb_workbook_formula_exact_rounded_sub_index,cpcb_workbook_formula_exact_cap_applied,cpcb_workbook_formula_exact_display_value,cpcb_workbook_formula_exact_category_label,cpcb_workbook_formula_exact_formula_branch,absolute_difference_raw,absolute_difference_rounded,unresolved_policy_warnings
pm10_430,pm10,430,ug/m3,24h,2026-08-21T00:00:00Z,,,synthetic_fixture,430-510,400.0,400,False,400,Very Poor,"tier 5/6: [350,430] -> [300,400]",400.0,400,False,400,Very Poor,"tier 5/5: [350,430] -> [300,400]",0.0,0,
pm10_431,pm10,431,ug/m3,24h,2026-08-21T00:00:00Z,,,synthetic_fixture,430-510,400.5882352941176,401,False,401,Severe,"tier 6/6: [430,600] -> [400,500]",401.25,401,False,401,Severe,above_tier5:extrapolated_same_slope_uncapped,0.6617647058823763,0,
pm10_510,pm10,510,ug/m3,24h,2026-08-21T00:00:00Z,,,synthetic_fixture,430-510,447.05882352941177,447,False,447,Severe,"tier 6/6: [430,600] -> [400,500]",500.0,500,False,500,Severe,above_tier5:extrapolated_same_slope_uncapped,52.94117647058823,53,
pm10_511,pm10,511,ug/m3,24h,2026-08-21T00:00:00Z,,,synthetic_fixture,510-600,447.6470588235294,448,False,448,Severe,"tier 6/6: [430,600] -> [400,500]",501.25,501,False,,,above_tier5:extrapolated_same_slope_uncapped,53.60294117647061,53,
pm10_600,pm10,600,ug/m3,24h,2026-08-21T00:00:00Z,,,synthetic_fixture,510-600,500.0,500,False,500,Severe,"tier 6/6: [430,600] -> [400,500]",612.5,613,False,,,above_tier5:extrapolated_same_slope_uncapped,112.5,113,
pm10_601,pm10,601,ug/m3,24h,2026-08-21T00:00:00Z,,,synthetic_fixture,above_600,,500,True,500,Severe,above_top_breakpoint:capped_500,613.75,614,False,,,above_tier5:extrapolated_same_slope_uncapped,,114,
pm10_756,pm10,756,ug/m3,24h,2026-08-21T00:00:00Z,,,synthetic_fixture,above_600,,500,True,500,Severe,above_top_breakpoint:capped_500,807.5,808,False,,,above_tier5:extrapolated_same_slope_uncapped,,308,
pm10_785,pm10,785,ug/m3,24h,2026-08-21T00:00:00Z,,,synthetic_fixture,above_600,,500,True,500,Severe,above_top_breakpoint:capped_500,843.75,844,False,,,above_tier5:extrapolated_same_slope_uncapped,,344,
pm10_1400,pm10,1400,ug/m3,24h,2026-08-21T00:00:00Z,,,synthetic_fixture,above_600,,500,True,500,Severe,above_top_breakpoint:capped_500,1612.5,1613,False,,,above_tier5:extrapolated_same_slope_uncapped,,1113,
pm25_380,pm25,380,ug/m3,24h,2026-08-21T00:00:00Z,,,synthetic_fixture,above_ceiling,500.0,500,False,500,Severe,"tier 6/6: [250,380] -> [400,500]",500.0,500,False,500,Severe,above_tier5:extrapolated_same_slope_uncapped,0.0,0,
pm25_450,pm25,450,ug/m3,24h,2026-08-21T00:00:00Z,,,synthetic_fixture,above_ceiling,,500,True,500,Severe,above_top_breakpoint:capped_500,553.8461538461538,554,False,,,above_tier5:extrapolated_same_slope_uncapped,,54,
no2_400,no2,400,ug/m3,24h,2026-08-21T00:00:00Z,,,synthetic_fixture,in_range,400.0,400,False,400,Very Poor,"tier 5/6: [280,400] -> [300,400]",400.0,400,False,400,Very Poor,"tier 5/5: [280,400] -> [300,400]",0.0,0,
no2_520,no2,520,ug/m3,24h,2026-08-21T00:00:00Z,,,synthetic_fixture,above_ceiling,430.0,430,False,430,Severe,"tier 6/6: [400,800] -> [400,500]",500.0,500,False,500,Severe,above_tier5:extrapolated_same_slope_uncapped,70.0,70,
no2_800,no2,800,ug/m3,24h,2026-08-21T00:00:00Z,,,synthetic_fixture,above_ceiling,500.0,500,False,500,Severe,"tier 6/6: [400,800] -> [400,500]",733.3333333333333,733,False,,,above_tier5:extrapolated_same_slope_uncapped,233.33333333333326,233,
no2_950,no2,950,ug/m3,24h,2026-08-21T00:00:00Z,,,synthetic_fixture,above_ceiling,,500,True,500,Severe,above_top_breakpoint:capped_500,858.3333333333334,858,False,,,above_tier5:extrapolated_same_slope_uncapped,,358,
so2_1600,so2,1600,ug/m3,24h,2026-08-21T00:00:00Z,,,synthetic_fixture,in_range,400.0,400,False,400,Very Poor,"tier 5/6: [800,1600] -> [300,400]",400.0,400,False,400,Very Poor,"tier 5/5: [800,1600] -> [300,400]",0.0,0,
so2_2100,so2,2100,ug/m3,24h,2026-08-21T00:00:00Z,,,synthetic_fixture,above_ceiling,500.0,500,False,500,Severe,"tier 6/6: [1600,2100] -> [400,500]",462.5,463,False,463,Severe,above_tier5:extrapolated_same_slope_uncapped,37.5,37,
so2_2400,so2,2400,ug/m3,24h,2026-08-21T00:00:00Z,,,synthetic_fixture,above_ceiling,,500,True,500,Severe,above_top_breakpoint:capped_500,500.0,500,False,500,Severe,above_tier5:extrapolated_same_slope_uncapped,,0,
so2_2500,so2,2500,ug/m3,24h,2026-08-21T00:00:00Z,,,synthetic_fixture,above_ceiling,,500,True,500,Severe,above_top_breakpoint:capped_500,512.5,513,False,,,above_tier5:extrapolated_same_slope_uncapped,,13,
co_34mg,co,34,mg/m3,8h,2026-08-21T00:00:00Z,,,synthetic_fixture,in_range,400.0,400,False,400,Very Poor,"tier 5/6: [17,34] -> [300,400]",400.0,400,False,400,Very Poor,"tier 5/5: [17,34] -> [300,400]",0.0,0,"unresolved: CO unit semantics — declared_unit is trusted at face value; whether every upstream source reliably distinguishes mg/m3 from ug/m3 for CO has not been independently verified against live CPCB station payloads (evidence-collection phase, DATA_GOV_API_KEY)."
co_48mg,co,48,mg/m3,8h,2026-08-21T00:00:00Z,,,synthetic_fixture,above_ceiling,500.0,500,False,500,Severe,"tier 6/6: [34,48] -> [400,500]",482.3529411764706,482,False,482,Severe,above_tier5:extrapolated_same_slope_uncapped,17.64705882352939,18,"unresolved: CO unit semantics — declared_unit is trusted at face value; whether every upstream source reliably distinguishes mg/m3 from ug/m3 for CO has not been independently verified against live CPCB station payloads (evidence-collection phase, DATA_GOV_API_KEY)."
co_51mg,co,51,mg/m3,8h,2026-08-21T00:00:00Z,,,synthetic_fixture,above_ceiling,,500,True,500,Severe,above_top_breakpoint:capped_500,500.0,500,False,500,Severe,above_tier5:extrapolated_same_slope_uncapped,,0,"unresolved: CO unit semantics — declared_unit is trusted at face value; whether every upstream source reliably distinguishes mg/m3 from ug/m3 for CO has not been independently verified against live CPCB station payloads (evidence-collection phase, DATA_GOV_API_KEY)."
co_60mg,co,60,mg/m3,8h,2026-08-21T00:00:00Z,,,synthetic_fixture,above_ceiling,,500,True,500,Severe,above_top_breakpoint:capped_500,552.9411764705883,553,False,,,above_tier5:extrapolated_same_slope_uncapped,,53,"unresolved: CO unit semantics — declared_unit is trusted at face value; whether every upstream source reliably distinguishes mg/m3 from ug/m3 for CO has not been independently verified against live CPCB station payloads (evidence-collection phase, DATA_GOV_API_KEY)."
co_48000ug,co,48000,ug/m3,8h,2026-08-21T00:00:00Z,,,synthetic_fixture,above_ceiling,500.0,500,False,500,Severe,"tier 6/6: [34,48] -> [400,500]",482.3529411764706,482,False,482,Severe,above_tier5:extrapolated_same_slope_uncapped,17.64705882352939,18,"unresolved: CO unit semantics — declared_unit is trusted at face value; whether every upstream source reliably distinguishes mg/m3 from ug/m3 for CO has not been independently verified against live CPCB station payloads (evidence-collection phase, DATA_GOV_API_KEY)."
o3_208,o3,208,ug/m3,8h,2026-08-21T00:00:00Z,,,synthetic_fixture,in_range,300.0,300,False,300,Poor,"tier 4/6: [168,208] -> [200,300]",300.0,300,False,300,Poor,"tier 4/5: [168,208] -> [200,300]",0.0,0,
o3_748,o3,748,ug/m3,8h,2026-08-21T00:00:00Z,,,synthetic_fixture,in_range,400.0,400,False,400,Very Poor,"tier 5/6: [208,748] -> [300,400]",400.1855287569573,400,False,400,Very Poor,"tier 5/5: [208,748] -> [300,400] (workbook divisor is 539, not 540)",0.18552875695729654,0,"unresolved: O3 averaging behaviour above 208 µg/m3 — CPCB documentation elsewhere describes averaging-window nuances for O3 that this harness has not verified against the workbook or live data; averaging_window is used as declared, unexamined."
o3_749,o3,749,ug/m3,8h,2026-08-21T00:00:00Z,,,synthetic_fixture,above_ceiling,400.3968253968254,400,False,400,Very Poor,"tier 6/6: [748,1000] -> [400,500]",464.74953617810763,465,False,465,Severe,"above_748:DISCONTINUOUS — workbook anchors this branch on 400, not 748; see docstring",64.35271078128221,65,"unresolved: O3 averaging behaviour above 208 µg/m3 — CPCB documentation elsewhere describes averaging-window nuances for O3 that this harness has not verified against the workbook or live data; averaging_window is used as declared, unexamined. | unresolved: workbook formula artifact under investigation — O3's decoded formula produces an abrupt ~64-point upward jump at 748 µg/m3 (the branch for values above 748 anchors on 400 rather than the tier boundary 748, and divides by 539 instead of 540). This is NOT a confirmed CPCB policy or intentional design — it is preserved exactly as decoded from the BIFF8 formula record because this harness transcribes the workbook rather than correcting it, pending independent confirmation of whether it's an authoring error. See profiles/cpcb_workbook_formula_exact.py's _o3_sub_index_uncapped docstring."
o3_1000,o3,1000,ug/m3,8h,2026-08-21T00:00:00Z,,,synthetic_fixture,above_ceiling,500.0,500,False,500,Severe,"tier 6/6: [748,1000] -> [400,500]",511.317254174397,511,False,,,"above_748:DISCONTINUOUS — workbook anchors this branch on 400, not 748; see docstring",11.317254174397021,11,"unresolved: O3 averaging behaviour above 208 µg/m3 — CPCB documentation elsewhere describes averaging-window nuances for O3 that this harness has not verified against the workbook or live data; averaging_window is used as declared, unexamined. | unresolved: workbook formula artifact under investigation — O3's decoded formula produces an abrupt ~64-point upward jump at 748 µg/m3 (the branch for values above 748 anchors on 400 rather than the tier boundary 748, and divides by 539 instead of 540). This is NOT a confirmed CPCB policy or intentional design — it is preserved exactly as decoded from the BIFF8 formula record because this harness transcribes the workbook rather than correcting it, pending independent confirmation of whether it's an authoring error. See profiles/cpcb_workbook_formula_exact.py's _o3_sub_index_uncapped docstring."
o3_1200,o3,1200,ug/m3,8h,2026-08-21T00:00:00Z,,,synthetic_fixture,above_ceiling,,500,True,500,Severe,above_top_breakpoint:capped_500,548.4230055658627,548,False,,,"above_748:DISCONTINUOUS — workbook anchors this branch on 400, not 748; see docstring",,48,"unresolved: O3 averaging behaviour above 208 µg/m3 — CPCB documentation elsewhere describes averaging-window nuances for O3 that this harness has not verified against the workbook or live data; averaging_window is used as declared, unexamined. | unresolved: workbook formula artifact under investigation — O3's decoded formula produces an abrupt ~64-point upward jump at 748 µg/m3 (the branch for values above 748 anchors on 400 rather than the tier boundary 748, and divides by 539 instead of 540). This is NOT a confirmed CPCB policy or intentional design — it is preserved exactly as decoded from the BIFF8 formula record because this harness transcribes the workbook rather than correcting it, pending independent confirmation of whether it's an authoring error. See profiles/cpcb_workbook_formula_exact.py's _o3_sub_index_uncapped docstring."
nh3_2400,nh3,2400,ug/m3,24h,2026-08-21T00:00:00Z,,,synthetic_fixture,above_ceiling,500.0,500,False,500,Severe,"tier 6/6: [1800,2400] -> [400,500]",500.0,500,False,500,Severe,above_tier5:extrapolated_same_slope_uncapped,0.0,0,
nh3_2800,nh3,2800,ug/m3,24h,2026-08-21T00:00:00Z,,,synthetic_fixture,above_ceiling,,500,True,500,Severe,above_top_breakpoint:capped_500,566.6666666666667,567,False,,,above_tier5:extrapolated_same_slope_uncapped,,67,
